UID,RMSE
629,5.8669281005859375
3828,4.387945652008057
12891,5.711153030395508
16255,2.365020751953125
28119,4.817348003387451
29537,3.5642895698547363
38196,5.072715759277344
39056,5.021827697753906
43332,4.836367607116699
46336,5.282301902770996
47616,4.427896976470947
48900,4.87703275680542
49857,4.962570667266846
53598,6.173861980438232
54023,3.6967010498046875
55845,5.247187614440918
56448,4.580905437469482
72346,5.694985866546631
72596,4.227547645568848
73354,1.3584609031677246
73605,4.84235143661499
77925,3.2642059326171875
78298,5.44062614440918
81998,4.149876117706299
90640,4.29217529296875
93991,5.063053607940674
95246,4.181169033050537
99384,3.5240478515625
99652,1.5831540822982788
102054,2.3041534423828125
104262,4.293256759643555
107425,5.5152153968811035
109860,3.58028244972229
109989,4.152461051940918
111847,5.4784255027771
118760,4.810141563415527
119356,2.907536506652832
120527,3.6594014167785645
122862,4.072836399078369
124878,0.90205979347229
128650,3.7978744506835938
128903,5.2964653968811035
144840,5.884988307952881
144898,4.260809898376465
160787,3.2639083862304688
164025,4.508057117462158
166585,4.8558220863342285
166824,3.965458869934082
167214,5.243374824523926
168208,3.5596723556518555
172096,3.7215843200683594
172498,5.317386627197266
