UID,MAE,RMSE
23147,3.3909595012664795,4.270389556884766
171838,2.3350698947906494,2.6816489696502686
94745,3.9615554809570312,4.531620979309082
114983,1.4428874254226685,1.8192553520202637
176581,2.9633102416992188,4.015349864959717
32696,2.402799367904663,2.9666078090667725
69351,2.9653093814849854,3.8197014331817627
139110,0.8686367869377136,1.2655736207962036
27044,2.814220428466797,3.062861680984497
151162,2.0301129817962646,2.3706374168395996
64689,1.6127805709838867,2.216280698776245
178970,1.7729545831680298,2.3709070682525635
185197,2.455566167831421,3.153916120529175
103952,1.2036292552947998,1.4555511474609375
207263,2.1679248809814453,2.7314047813415527
93514,1.602588415145874,1.9422861337661743
196835,1.8881441354751587,2.059502601623535
150397,1.4835636615753174,2.2613768577575684
61889,1.6685516834259033,2.3821499347686768
149768,0.7042768597602844,0.8833129405975342
514,2.5639524459838867,2.986654043197632
2226,2.538987874984741,3.418933629989624
123480,2.1804451942443848,2.4524648189544678
19242,1.3679523468017578,1.6441015005111694
94803,2.1658029556274414,2.391352415084839
68505,4.00213623046875,4.6537604331970215
86924,2.178037643432617,2.577155113220215
60745,3.9469003677368164,4.646021842956543
146797,1.7583434581756592,2.3188180923461914
205888,3.2868077754974365,4.1458539962768555
68815,2.4824066162109375,3.0754570960998535
157444,2.1145615577697754,2.371638536453247
195021,1.7472972869873047,1.9689695835113525
34910,2.717836380004883,2.9850471019744873
115887,4.0567474365234375,5.059504508972168
145367,1.642743706703186,2.1945981979370117
202438,1.3771450519561768,1.7588366270065308
123005,2.00870418548584,2.564098358154297
38998,2.96476411819458,3.6207077503204346
136391,1.0381090641021729,1.255616545677185
177748,1.6474202871322632,2.179778814315796
177811,2.234015703201294,2.5039005279541016
8128,1.1555596590042114,1.4400370121002197
88566,1.0051316022872925,1.4164535999298096
168822,4.692141056060791,5.289546966552734
82670,2.2121810913085938,2.6749074459075928
84113,3.6639018058776855,4.667677402496338
77780,1.8967801332473755,2.2822067737579346
167689,1.5090689659118652,1.838151216506958
34039,2.7467644214630127,3.3862905502319336
151870,1.830360770225525,2.3136541843414307
170232,1.56382417678833,1.9380691051483154
127721,1.5666767358779907,2.1223483085632324
122139,1.0854756832122803,1.464692234992981
112043,2.563366413116455,3.4231300354003906
172856,2.3435871601104736,2.7094593048095703
112259,0.9674181342124939,1.2836644649505615
136959,2.3700830936431885,2.722688674926758
44847,1.6053553819656372,2.365473747253418
174689,1.9723105430603027,2.3153457641601562
206083,4.070886611938477,4.176694869995117
40264,3.30753755569458,3.615631341934204
137574,2.1046581268310547,2.7018933296203613
96595,1.4498900175094604,1.567695140838623
166144,2.376217842102051,2.835771322250366
83706,1.6724337339401245,2.0392680168151855
138861,2.2494242191314697,3.2606756687164307
73667,2.3928709030151367,2.8526337146759033
203030,0.8703218698501587,1.1696579456329346
107716,0.7629355788230896,1.057586431503296
119268,3.305043935775757,3.978227376937866
204369,1.7503801584243774,2.071190357208252
85447,1.9086406230926514,2.3700075149536133
127348,3.0571584701538086,3.4735450744628906
62411,2.754808187484741,3.736598253250122
133538,1.5380275249481201,1.9194422960281372
143579,1.7352981567382812,2.2029407024383545
75361,2.2417755126953125,2.6767373085021973
