UID,MAE,RMSE
107148,4.5376482009887695,4.588922500610352
169449,4.222675800323486,4.406815528869629
61421,4.368991374969482,4.422829627990723
103909,4.698983669281006,4.760644912719727
87320,4.7191572189331055,4.785260200500488
114582,4.6186299324035645,4.6454081535339355
56187,4.032500267028809,4.194118976593018
134105,4.317181587219238,4.513195037841797
509,4.141361236572266,4.372646331787109
25820,4.453797340393066,4.523012638092041
9155,4.984564304351807,4.995253562927246
72823,4.159848690032959,4.291784763336182
94744,4.184765338897705,4.512803554534912
4618,4.230677604675293,4.369447231292725
168691,4.2314453125,4.310242652893066
93802,4.7532734870910645,4.780706882476807
94876,4.909548759460449,4.964583873748779
159104,3.7746596336364746,4.0015106201171875
84137,3.894641399383545,4.021327972412109
71125,5.120504379272461,5.146714210510254
107055,4.036418437957764,4.179345607757568
84679,4.732028484344482,4.841989517211914
64718,4.572251796722412,4.712820529937744
26056,4.8145432472229,4.845614910125732
84116,3.9915847778320312,4.232527732849121
150673,4.581554889678955,4.682854175567627
22042,4.416754245758057,4.491333484649658
17071,4.034623622894287,4.193912029266357
176875,4.436707496643066,4.526782989501953
52202,3.1399760246276855,3.5975921154022217
140809,3.526669502258301,3.8491334915161133
57923,4.218446254730225,4.395138263702393
90749,4.938161849975586,4.973691940307617
104443,4.2170329093933105,4.30697774887085
72162,4.014140605926514,4.1246490478515625
27445,4.956113815307617,4.958426475524902
137165,4.295206546783447,4.475772857666016
3383,4.6496195793151855,4.768062591552734
28629,5.210992336273193,5.219527721405029
170534,4.411620616912842,4.491801738739014
110647,4.346684455871582,4.419727802276611
20761,4.006332874298096,4.109869480133057
135262,4.073030948638916,4.164841175079346
171035,5.033423900604248,5.058334827423096
180835,4.468532085418701,4.540566444396973
42919,5.03299617767334,5.0517377853393555
30181,4.726064682006836,4.779831409454346
37567,5.037718772888184,5.056238651275635
13667,4.034749507904053,4.186727046966553
155737,4.533860683441162,4.570049285888672
122543,4.002062797546387,4.179211139678955
177484,3.717495918273926,3.9282491207122803
31384,3.887089729309082,4.098496437072754
63032,4.804811477661133,4.851593017578125
53879,3.5484097003936768,3.7455997467041016
134033,3.9589061737060547,4.1263813972473145
35608,4.463887691497803,4.529766082763672
25541,4.139047622680664,4.295315265655518
26595,4.47243595123291,4.580837726593018
101165,4.454427719116211,4.549654483795166
68024,4.7353515625,4.809883117675781
19988,4.472221851348877,4.614351749420166
74084,3.868032455444336,4.2240118980407715
37788,3.4505715370178223,3.7366726398468018
177579,3.927555561065674,4.149098873138428
62825,4.111605167388916,4.271928310394287
160188,4.06062650680542,4.271766185760498
31558,4.173796653747559,4.296109199523926
98590,4.483400821685791,4.54569149017334
33856,3.727346181869507,3.8842670917510986
85840,4.278275966644287,4.331108570098877
96760,4.632665634155273,4.749068260192871
135701,4.842246055603027,4.91396427154541
106912,3.885347604751587,4.16815710067749
107886,1.3322694301605225,2.1142778396606445
135410,4.457817077636719,4.530683517456055
95435,4.089229583740234,4.229544162750244
164346,4.933479309082031,4.979959964752197
31123,4.703099727630615,4.740473747253418
39958,4.13731050491333,4.210121154785156
82495,4.974759578704834,4.982097625732422
125660,4.705790042877197,4.752722263336182
164479,3.8686363697052,4.073531150817871
131739,4.7973952293396,4.823763847351074
10702,3.672717332839966,3.799133539199829
160884,4.152814865112305,4.281337738037109
127118,3.391751289367676,3.7682032585144043
62641,4.541013717651367,4.615076541900635
114191,4.6406569480896,4.701374530792236
87541,3.829122543334961,3.9909348487854004
20851,3.6228995323181152,3.969644069671631
123160,3.972916841506958,4.070586204528809
53988,4.9657135009765625,4.983742713928223
71962,3.1760809421539307,3.305441379547119
2882,3.8697540760040283,4.001983165740967
116168,4.784069538116455,4.858436584472656
20076,4.723104000091553,4.754378318786621
79168,3.718317985534668,4.102492809295654
92691,4.78425407409668,4.817502498626709
47546,4.1282830238342285,4.229790687561035
34903,4.707643508911133,4.7491631507873535
6562,4.757122993469238,4.801853656768799
164358,3.1201910972595215,3.3645436763763428
176043,4.888576984405518,4.922820568084717
142074,4.792993068695068,4.822813034057617
174142,4.5195393562316895,4.588959217071533
124133,4.150569438934326,4.217618942260742
841,4.389955520629883,4.458949565887451
55845,4.0817484855651855,4.178139686584473
96464,5.113316535949707,5.171573638916016
28587,4.410512924194336,4.4797258377075195
49815,3.845013380050659,4.010409832000732
45117,4.521429538726807,4.666497707366943
171071,4.2147603034973145,4.270970821380615
64180,4.570417404174805,4.646456718444824
39658,4.053408622741699,4.238614082336426
103845,4.9080610275268555,4.916309356689453
63669,4.060530185699463,4.149085521697998
179925,4.603796482086182,4.654843807220459
154511,4.639473915100098,4.705628395080566
71317,4.815393447875977,4.847888469696045
125186,4.820635795593262,4.823092937469482
154516,4.826303005218506,4.876473426818848
178567,4.294694900512695,4.3986735343933105
168192,3.539545774459839,3.6492972373962402
175127,4.57236385345459,4.636211395263672
168897,4.840311527252197,4.861876487731934
111598,4.372769355773926,4.486471176147461
129928,4.492980003356934,4.587525367736816
141235,4.235288143157959,4.342844009399414
156620,3.8240017890930176,4.071554183959961
166271,4.355044841766357,4.517522811889648
107757,4.921857833862305,4.945836067199707
20439,3.787900924682617,3.852231502532959
94944,4.627876281738281,4.674526214599609
117384,4.101864337921143,4.207408905029297
161050,4.803546905517578,4.857412815093994
114206,4.11311674118042,4.241837501525879
31130,4.34176778793335,4.477529525756836
101103,4.3947038650512695,4.435443878173828
110899,4.956525802612305,4.980802536010742
148189,4.013901233673096,4.0742082595825195
16255,4.523168563842773,4.593295574188232
175667,4.701233863830566,4.72613000869751
61010,4.67297887802124,4.7253499031066895
83052,4.539055824279785,4.582275867462158
63105,4.491855144500732,4.618545055389404
118269,4.493825912475586,4.549840927124023
158753,4.70955228805542,4.74000358581543
6336,4.943253040313721,4.977860927581787
60111,4.008289337158203,4.199497222900391
10959,4.208673477172852,4.4385528564453125
95571,4.294810771942139,4.400820255279541
159261,4.446013927459717,4.510851860046387
56103,3.20100736618042,3.5861868858337402
115490,4.60452938079834,4.663936138153076
73193,4.627285003662109,4.698528289794922
82286,4.800266742706299,4.857577800750732
11247,4.000539302825928,4.267585277557373
76281,4.766290664672852,4.8066582679748535
94061,3.6574583053588867,3.7634215354919434
96166,4.426311016082764,4.562155246734619
14583,3.8667023181915283,4.075667858123779
171715,4.8730926513671875,4.890738487243652
