UID,RMSE,MAE
175853,3.95937442779541,3.95937442779541
100843,4.851395130157471,4.851395130157471
85663,0.7134158611297607,0.7134158611297607
98972,5.655534267425537,5.655534267425537
126718,5.021703243255615,5.021703243255615
169946,4.670423984527588,4.670423984527588
146543,4.55244779586792,4.55244779586792
159075,4.989246368408203,4.989246368408203
89040,1.3255982398986816,1.3255982398986816
171206,4.701372146606445,4.701372146606445
176959,5.003641128540039,5.003641128540039
133996,5.077058792114258,5.077058792114258
62002,4.298029899597168,4.298029899597168
17568,5.007793426513672,5.007793426513672
31344,4.125828742980957,4.125828742980957
47616,4.575995445251465,4.575995445251465
65610,5.106971740722656,5.106971740722656
20848,4.906865119934082,4.906865119934082
168979,5.118460655212402,5.118460655212402
105934,5.161436557769775,5.161436557769775
9455,5.48897123336792,5.48897123336792
56103,4.561417102813721,4.561417102813721
87788,4.997104644775391,4.997104644775391
130719,4.462580680847168,4.462580680847168
92439,5.151198863983154,5.151198863983154
139959,1.219227910041809,1.219227910041809
56222,5.669221878051758,5.669221878051758
150265,3.8211565017700195,3.8211565017700195
154245,5.150673866271973,5.150673866271973
108468,5.3595147132873535,5.3595147132873535
53598,4.879235744476318,4.879235744476318
51723,4.7330522537231445,4.7330522537231445
177900,5.524674892425537,5.524674892425537
38013,5.163022994995117,5.163022994995117
120527,4.401278495788574,4.401278495788574
124434,1.4943655729293823,1.4943655729293823
51253,4.769676208496094,4.769676208496094
17522,4.814958095550537,4.814958095550537
24172,4.392851829528809,4.392851829528809
91696,5.207852363586426,5.207852363586426
130690,5.5244951248168945,5.5244951248168945
42607,4.377433776855469,4.377433776855469
6392,4.519791126251221,4.519791126251221
159780,2.653726100921631,2.653726100921631
57925,4.893878936767578,4.893878936767578
111657,5.070804595947266,5.070804595947266
41512,5.750037670135498,5.750037670135498
143869,4.133411884307861,4.133411884307861
3828,5.6115922927856445,5.6115922927856445
120128,2.9694395065307617,2.9694395065307617
35485,4.731253147125244,4.731253147125244
12891,4.967117786407471,4.967117786407471
150486,3.8137593269348145,3.8137593269348145
