UID,MAE,RMSE
180469,4.460001468658447,4.574576377868652
38373,4.475518703460693,4.57489538192749
71962,3.1680498123168945,3.294034957885742
110322,5.018377780914307,5.045422077178955
80147,3.752229690551758,3.837419033050537
172255,4.578652381896973,4.655648708343506
43613,4.578392505645752,4.7063374519348145
85964,3.464994430541992,3.732743263244629
122122,4.537598609924316,4.58911657333374
126398,4.345129013061523,4.488154888153076
64334,4.857149600982666,4.915455341339111
87012,4.64002799987793,4.7997565269470215
159696,4.086465358734131,4.233717441558838
52663,3.943178415298462,4.090315341949463
57923,4.2101054191589355,4.384654998779297
49658,4.413144111633301,4.579838752746582
113541,4.0279717445373535,4.147477149963379
95053,4.089444637298584,4.209053039550781
114725,4.847832202911377,4.913339614868164
102666,4.427164077758789,4.5171685218811035
181161,4.315426349639893,4.387485980987549
71873,4.504794120788574,4.591897487640381
3671,4.698037624359131,4.737429618835449
101738,4.8540143966674805,4.884361267089844
71914,3.1148946285247803,3.3406455516815186
6830,4.4606451988220215,4.549099922180176
4019,4.945873737335205,5.0266876220703125
69475,4.820036888122559,4.873239040374756
173007,5.034674644470215,5.045753479003906
21752,4.27027702331543,4.414821624755859
136264,4.3779072761535645,4.4781928062438965
19973,4.349738597869873,4.44467830657959
172028,3.9640049934387207,4.249850273132324
36639,4.3719987869262695,4.450070381164551
144393,3.728595018386841,3.994560718536377
82771,3.995912551879883,4.106003284454346
123942,4.349001407623291,4.443102836608887
34051,4.546937465667725,4.664633750915527
130543,4.88321590423584,4.938940525054932
74423,4.543426990509033,4.610936641693115
157972,3.612975597381592,3.7408409118652344
66576,4.2741780281066895,4.430472373962402
53388,2.6864187717437744,3.222006320953369
53835,2.3801238536834717,2.934701681137085
71611,4.791670799255371,4.884547710418701
145633,4.003633499145508,4.20272970199585
74710,5.092358112335205,5.148560523986816
180835,4.460725784301758,4.530669212341309
20485,4.66774845123291,4.748613357543945
106516,3.5808565616607666,3.8096649646759033
160311,4.614604949951172,4.679403781890869
87571,4.622065544128418,4.7048563957214355
141263,4.67403507232666,4.728918552398682
166508,4.75640869140625,4.771242141723633
107215,4.406425952911377,4.458140850067139
4513,4.649505615234375,4.725958824157715
170063,4.597634315490723,4.693167686462402
61421,4.266720771789551,4.370008945465088
20687,4.726835250854492,4.807605743408203
103164,4.514590263366699,4.578144073486328
34912,4.476193428039551,4.555910110473633
6336,4.916231632232666,4.953412055969238
78988,3.8102076053619385,4.087233543395996
98590,4.474589824676514,4.541985511779785
9997,4.549984931945801,4.613400936126709
116646,4.908266067504883,4.9418745040893555
24172,4.527976989746094,4.648306846618652
148204,3.9906718730926514,4.27032470703125
168114,4.380751609802246,4.485947132110596
25933,4.809528827667236,4.83569860458374
1649,3.7890477180480957,4.115349769592285
75568,3.6804769039154053,3.9344191551208496
176517,4.710225582122803,4.749566555023193
180458,4.434121131896973,4.507036209106445
127422,4.8341288566589355,4.856095314025879
120859,4.131797790527344,4.246286869049072
25541,4.140072822570801,4.280246257781982
122560,4.573436737060547,4.659397125244141
131359,4.563821792602539,4.6252336502075195
90767,4.647712230682373,4.759967803955078
54810,3.4081473350524902,3.6988253593444824
101556,5.099985599517822,5.120387554168701
25556,4.1454033851623535,4.408660411834717
177483,4.036881923675537,4.2502360343933105
38196,4.572842597961426,4.654441833496094
98269,4.792970657348633,4.824611186981201
127497,4.658444404602051,4.744199752807617
116352,3.7186505794525146,3.9202263355255127
13127,4.751514434814453,4.78618049621582
3828,3.655538558959961,3.759633779525757
178508,4.501731872558594,4.587846279144287
134033,3.9717183113098145,4.1584391593933105
165508,4.46946382522583,4.656193256378174
132677,4.1571245193481445,4.311897277832031
17916,3.679389715194702,3.806764602661133
52946,4.123538970947266,4.469967365264893
3766,4.349277496337891,4.382632255554199
52491,2.7552311420440674,3.21706485748291
2089,4.856085777282715,4.883597373962402
49630,4.128910064697266,4.258274555206299
20788,4.3476457595825195,4.440357685089111
23611,4.755992889404297,4.827701091766357
145983,4.756392478942871,4.8212480545043945
133497,4.983809947967529,5.008322238922119
118405,4.517265796661377,4.605476379394531
112662,3.999437093734741,4.212751388549805
23272,4.817009449005127,4.841085910797119
115896,4.819769859313965,4.828482627868652
180096,4.562161922454834,4.625245571136475
97910,4.549923896789551,4.642181873321533
152726,3.9370298385620117,4.081935882568359
121549,3.7861039638519287,4.0045270919799805
175826,4.184942245483398,4.263341903686523
100905,3.691709280014038,3.9132754802703857
85229,5.1422014236450195,5.20017147064209
80933,5.02047872543335,5.033937931060791
16255,4.567831039428711,4.654806613922119
68151,2.8293728828430176,3.204777956008911
75970,4.247200965881348,4.411017417907715
86358,4.8594512939453125,4.861481189727783
167685,4.488033771514893,4.558920860290527
57972,3.834752082824707,3.9585156440734863
100843,4.113015174865723,4.193665981292725
141103,4.597540855407715,4.657728672027588
89282,4.184107303619385,4.301680088043213
121629,4.767664432525635,4.804527759552002
95458,4.232978343963623,4.419212341308594
178978,3.0902647972106934,3.4874267578125
172896,4.562122821807861,4.705000877380371
52800,4.488091468811035,4.515462875366211
38710,4.1070756912231445,4.548623561859131
71415,4.617220401763916,4.685146331787109
118640,3.9639267921447754,4.3235063552856445
114638,3.957366466522217,4.060577392578125
46978,4.122796058654785,4.175412178039551
99493,4.4595513343811035,4.504207134246826
108748,3.5970404148101807,3.712918758392334
81191,4.672671318054199,4.711786270141602
151097,4.098684787750244,4.458142280578613
47632,3.7988321781158447,4.132262229919434
176642,4.598451137542725,4.639658451080322
32838,3.6996278762817383,3.9145820140838623
121408,3.5241212844848633,3.6531522274017334
80991,3.3131704330444336,3.681708335876465
139977,4.093099594116211,4.147238254547119
116606,4.426370620727539,4.529428005218506
32309,3.642747402191162,3.8128292560577393
51771,4.223138809204102,4.41448974609375
28069,4.797652244567871,4.831767559051514
172551,5.171981334686279,5.185933589935303
87320,4.720759391784668,4.815267086029053
153295,3.7339189052581787,3.9926881790161133
20729,4.877336502075195,4.934925556182861
80341,4.705050945281982,4.823935031890869
71591,4.822396278381348,4.847437858581543
96818,4.822471618652344,4.8863630294799805
28518,4.577707767486572,4.640182018280029
111598,4.412771701812744,4.534855842590332
156689,4.796560764312744,4.826478958129883
77144,4.810880661010742,4.849670886993408
146361,4.289504528045654,4.42934513092041
28956,4.004479885101318,4.217877388000488
41694,3.5122292041778564,3.783690929412842
25529,4.4292449951171875,4.593338489532471
121714,3.739490270614624,4.062429904937744
20848,4.706923007965088,4.749269008636475
20071,4.569576263427734,4.718395709991455
171711,4.362553596496582,4.433085918426514
121739,4.7623209953308105,4.807701110839844
16434,4.0897908210754395,4.177019119262695
155067,3.239575147628784,3.4884262084960938
108105,4.934652805328369,4.9499921798706055
139550,4.099741458892822,4.416428565979004
166873,5.046553134918213,5.050823211669922
50106,4.032629013061523,4.26552677154541
9630,4.972232818603516,5.005970478057861
156961,4.403155326843262,4.641109943389893
162251,3.817190170288086,3.9803295135498047
42471,4.279568195343018,4.416294574737549
101358,4.66387939453125,4.720532417297363
58476,4.57256555557251,4.6512908935546875
110160,4.071629524230957,4.142984867095947
41650,3.494713544845581,3.9904727935791016
78557,4.604203701019287,4.677889347076416
55512,4.618797779083252,4.674042224884033
97507,2.525073289871216,2.943434953689575
152159,5.11751651763916,5.135045051574707
4252,4.517301559448242,4.56963586807251
77099,4.336897850036621,4.389370441436768
128623,4.258701324462891,4.3554253578186035
13466,3.8593645095825195,4.202358245849609
20761,4.040615558624268,4.151242256164551
26762,4.953310966491699,4.981425762176514
46332,4.86637544631958,4.90640115737915
64229,4.8513641357421875,4.892427444458008
53004,4.518071174621582,4.599677562713623
106178,4.337212085723877,4.448492050170898
167743,3.7483296394348145,3.9032223224639893
148725,4.561840534210205,4.656913757324219
17236,3.56040358543396,3.7876110076904297
102755,4.91848087310791,4.936268329620361
81466,4.124751091003418,4.20807409286499
180202,4.3515706062316895,4.41321325302124
98521,3.585869789123535,3.913264751434326
26803,4.877137660980225,4.900425434112549
59831,4.355369567871094,4.552864074707031
